unit_id,name,type,subordination
UA_47_MECH_BDE,47th Separate Mechanized Brigade,MECH_INF,Operational Command North
UA_3_ASSAULT_BDE,3rd Separate Assault Brigade,INFANTRY,Ground Forces
UA_82_AIR_ASSAULT_BDE,82nd Air Assault Brigade,AIRBORNE,Air Assault Forces
UA_80_AIR_ASSAULT_BDE,80th Air Assault Brigade,AIRBORNE,Air Assault Forces
UA_93_MECH_BDE,93rd Separate Mechanized Brigade (Kholodnyi Yar),MECH_INF,Operational Command East
UA_72_MECH_BDE,72nd Separate Mechanized Brigade (Black Zaporozhians),MECH_INF,Operational Command North
UA_110_MECH_BDE,110th Separate Mechanized Brigade,MECH_INF,Operational Command North
UA_25_AIRBORNE_BDE,25th Airborne Brigade,AIRBORNE,Air Assault Forces
UA_128_MTN_BDE,128th Mountain Assault Brigade,INFANTRY,Operational Command West
UA_10_MTN_BDE,10th Mountain Assault Brigade (Edelweiss),INFANTRY,Operational Command West
UA_59_MOT_BDE,59th Separate Motorized Infantry Brigade,INFANTRY,Operational Command South
UA_1_TANK_BDE,1st Separate Tank Brigade,ARMORED,Operational Command North
UA_4_TANK_BDE,4th Separate Tank Brigade,ARMORED,Reserve Corps
UA_35_MARINE_BDE,35th Separate Marine Brigade,NAVAL_INFANTRY,Marine Corps
UA_36_MARINE_BDE,36th Separate Marine Brigade,NAVAL_INFANTRY,Marine Corps
UA_37_MARINE_BDE,37th Separate Marine Brigade,NAVAL_INFANTRY,Marine Corps
UA_38_MARINE_BDE,38th Separate Marine Brigade,NAVAL_INFANTRY,Marine Corps
UA_KRAKEN,Kraken Regiment,SPECIAL_FORCES,GUR (Intelligence)
UA_OMEGA,Omega Special Purpose Unit,SPECIAL_FORCES,National Guard
UA_ALPHA,Alpha Group (SBU),SPECIAL_FORCES,SBU
UA_12_AZOV_BDE,12th Special Purpose Brigade Azov,SPECIAL_FORCES,National Guard
UA_24_MECH_BDE,24th Separate Mechanized Brigade,MECH_INF,Operational Command West
UA_28_MECH_BDE,28th Separate Mechanized Brigade,MECH_INF,Operational Command South
UA_53_MECH_BDE,53rd Separate Mechanized Brigade,MECH_INF,Operational Command East
UA_54_MECH_BDE,54th Separate Mechanized Brigade,MECH_INF,Operational Command East
UA_92_ASSAULT_BDE,92nd Separate Assault Brigade,INFANTRY,Operational Command East
UA_79_AIR_ASSAULT_BDE,79th Air Assault Brigade,AIRBORNE,Air Assault Forces
UA_95_AIR_ASSAULT_BDE,95th Air Assault Brigade,AIRBORNE,Air Assault Forces
UA_21_MECH_BDE,21st Separate Mechanized Brigade,MECH_INF,Ground Forces
UA_22_MECH_BDE,22nd Separate Mechanized Brigade,MECH_INF,Ground Forces
UA_32_MECH_BDE,32nd Separate Mechanized Brigade,MECH_INF,Ground Forces
UA_33_MECH_BDE,33rd Separate Mechanized Brigade,MECH_INF,Ground Forces
UA_118_MECH_BDE,118th Separate Mechanized Brigade,MECH_INF,Ground Forces
UA_151_MECH_BDE,151st Separate Mechanized Brigade,MECH_INF,Ground Forces
